Name,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Price,Brand,Model,Age,Mileage(kmpl)
Maruti Wagon R LXI BS IV,Kolkata,40000,Petrol,Manual,First,998.0,67.04,5.0,2.49,Maruti,Wagon,6,20.51
Renault KWID RXT,Jaipur,4152,Petrol,Manual,First,799.0,53.3,5.0,3.15,Renault,KWID,4,25.17
Volkswagen Ameo 1.5 TDI Highline,Mumbai,51000,Diesel,Manual,First,1498.0,108.62,5.0,6.45,Volkswagen,Ameo,3,21.66
Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,55000,Diesel,Manual,First,1199.0,73.9,5.0,4.25,Volkswagen,Polo,7,22.07
Maruti Alto 800 LXI,Hyderabad,58500,Petrol,Manual,First,796.0,47.3,5.0,2.75,Maruti,Alto,6,22.74
Hyundai i20 Asta Option 1.2,Kochi,58620,Petrol,Manual,First,1197.0,81.83,5.0,7.14,Hyundai,i20,3,18.6
Toyota Etios Liva G,Mumbai,29605,Petrol,Manual,First,1197.0,,5.0,2.44,Toyota,Etios,8,18.3
Hyundai i20 1.2 Sportz,Jaipur,71172,Petrol,Manual,Third,1197.0,80.0,5.0,3.5,Hyundai,i20,8,17.0
Hyundai i20 1.4 Asta,Chennai,12000,Diesel,Manual,First,1396.0,88.73,5.0,7.3,Hyundai,i20,3,22.54
Maruti Wagon R LXI Optional,Kolkata,25000,Petrol,Manual,First,998.0,67.04,5.0,2.75,Maruti,Wagon,6,20.51
Hyundai i20 1.4 Asta Option,Bangalore,43000,Diesel,Manual,Second,1396.0,88.73,5.0,8.2,Hyundai,i20,3,22.54
Volkswagen Polo GT TSI,Mumbai,57022,Petrol,Automatic,First,1197.0,103.6,5.0,6.51,Volkswagen,Polo,5,17.21
Ford Figo Diesel Titanium,Pune,92000,Diesel,Manual,First,1399.0,68.05,5.0,4.25,Ford,Figo,5,20.0
Maruti Swift ZXI,Coimbatore,33372,Petrol,Manual,Second,1197.0,85.8,5.0,6.21,Maruti,Swift,6,18.6
Hyundai Grand i10 CRDi Magna,Kochi,52625,Diesel,Manual,First,1120.0,70.0,5.0,4.58,Hyundai,Grand,4,24.0
Mahindra Xylo H4,Chennai,215000,Diesel,Manual,First,2179.0,118.3,7.0,7.5,Mahindra,Xylo,4,14.02
Maruti Alto Green LXi (CNG),Delhi,65537,CNG,Manual,First,796.0,38.4,5.0,2.1,Maruti,Alto,8,
Hyundai i10 Magna 1.1,Coimbatore,60138,Petrol,Manual,First,1086.0,68.05,5.0,4.09,Hyundai,i10,6,19.81
Skoda Octavia Elegance 2.0 TDI AT,Mumbai,84000,Diesel,Automatic,First,1968.0,141.0,5.0,10.75,Skoda,Octavia,6,19.3
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,47000,Diesel,Automatic,First,2993.0,,7.0,41.5,BMW,X5,6,15.97
Maruti Celerio VXI AT,Hyderabad,33450,Petrol,Automatic,First,998.0,67.04,5.0,4.4,Maruti,Celerio,6,23.1
Volkswagen Vento Diesel Comfortline,Jaipur,125000,Diesel,Manual,Second,1598.0,103.6,5.0,6.25,Volkswagen,Vento,7,20.54
BMW 3 Series 320d Highline,Pune,99606,Diesel,Automatic,Second,1995.0,181.0,5.0,10.5,BMW,3,9,16.07
Maruti Ertiga ZDI,Mumbai,64000,Diesel,Manual,First,1248.0,88.8,7.0,7.25,Maruti,Ertiga,6,20.77
Ford Figo Diesel ZXI,Hyderabad,51000,Diesel,Manual,First,1399.0,68.05,5.0,3.2,Ford,Figo,7,20.0
Volkswagen Polo 1.2 MPI Highline,Mumbai,57000,Petrol,Manual,First,1198.0,74.0,5.0,3.95,Volkswagen,Polo,6,16.47
Audi A6 3.0 TDI quattro,Coimbatore,48040,Diesel,Automatic,Second,2967.0,,5.0,12.07,Audi,A6,11,16.77
Toyota Innova Crysta 2.4 ZX MT,Pune,43200,Diesel,Manual,First,2393.0,147.8,7.0,18.6,Toyota,Innova,3,13.68
Hyundai Verna 1.6 CRDi EX AT,Delhi,66000,Diesel,Automatic,First,1582.0,126.3,5.0,5.7,Hyundai,Verna,7,22.32
Hyundai Santro Xing GL Plus,Kolkata,31000,Petrol,Manual,First,1086.0,62.1,5.0,1.75,Hyundai,Santro,7,17.92
Audi A4 2.0 TDI,Delhi,46000,Diesel,Automatic,Second,1968.0,147.51,5.0,10.99,Audi,A4,9,16.55
Audi A4 2.0 TDI,Kolkata,47346,Diesel,Automatic,First,1968.0,147.51,5.0,14.5,Audi,A4,8,16.55
Skoda Laura 1.9 TDI MT Ambiente,Jaipur,100000,Diesel,Manual,First,1896.0,105.0,5.0,3.11,Skoda,Laura,11,17.0
Honda CR-V 2.0L 2WD AT,Coimbatore,63856,Petrol,Automatic,First,1997.0,153.86,5.0,13.96,Honda,CR-V,5,13.7
Hyundai Verna 1.6 SX CRDi (O),Coimbatore,72996,Diesel,Manual,First,1582.0,126.32,5.0,7.11,Hyundai,Verna,5,22.32
Honda Mobilio RS i DTEC,Chennai,23000,Diesel,Manual,First,1498.0,98.6,7.0,6.9,Honda,Mobilio,6,24.5
Hyundai i20 1.2 Asta Option,Coimbatore,15985,Petrol,Manual,First,1197.0,81.83,5.0,7.77,Hyundai,i20,2,18.6
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,98000,Diesel,Manual,Second,2494.0,102.0,8.0,5.5,Toyota,Innova,9,12.8
Hyundai i20 Magna 1.2,Hyderabad,70089,Petrol,Manual,First,1197.0,81.83,5.0,5.35,Hyundai,i20,6,18.6
Mahindra Bolero VLX BS IV,Chennai,99000,Diesel,Manual,Second,2523.0,63.0,7.0,4.5,Mahindra,Bolero,9,13.6
Volkswagen Vento 1.5 TDI Comfortline,Jaipur,72000,Diesel,Manual,First,1498.0,103.2,5.0,4.75,Volkswagen,Vento,6,20.34
Jaguar XF 2.2 Litre Luxury,Coimbatore,44194,Diesel,Automatic,First,2179.0,187.7,5.0,32.8,Jaguar,XF,5,16.36
Maruti Zen LXi - BS III,Mumbai,102000,Petrol,Manual,First,993.0,60.0,5.0,0.7,Maruti,Zen,15,17.3
Mercedes-Benz E-Class Facelift,Coimbatore,56652,Diesel,Automatic,First,2987.0,,5.0,50.29,Mercedes-Benz,E-Class,2,13.0
Toyota Fortuner 3.0 Diesel,Mumbai,41650,Diesel,Manual,Second,2982.0,171.0,7.0,10.99,Toyota,Fortuner,10,11.5
Hyundai Grand i10 AT Asta,Coimbatore,61717,Petrol,Automatic,First,1197.0,82.0,5.0,5.57,Hyundai,Grand,5,18.9
Hyundai Xcent 1.2 CRDi S,Jaipur,25302,Diesel,Manual,First,1186.0,73.97,5.0,5.9,Hyundai,Xcent,2,25.4
Hyundai Creta 1.6 VTVT S,Coimbatore,47016,Petrol,Manual,First,1591.0,121.3,5.0,9.43,Hyundai,Creta,4,15.29
Hyundai i10 Sportz,Bangalore,69000,Petrol,Manual,First,1197.0,78.9,5.0,2.9,Hyundai,i10,10,20.36
Honda Brio S MT,Delhi,32700,Petrol,Manual,First,1198.0,86.8,5.0,3.68,Honda,Brio,4,19.4
Toyota Fortuner 4x2 AT,Coimbatore,101337,Diesel,Automatic,First,2982.0,168.5,7.0,21.67,Toyota,Fortuner,5,12.55
Audi A4 2.0 TDI Multitronic,Ahmedabad,59000,Diesel,Automatic,First,1968.0,140.0,5.0,12.5,Audi,A4,9,16.55
Toyota Innova Crysta 2.8 ZX AT,Kochi,41736,Diesel,Automatic,First,2755.0,171.5,7.0,19.92,Toyota,Innova,2,11.36
Honda City i DTEC VX,Jaipur,71649,Diesel,Manual,First,1498.0,98.6,5.0,6.75,Honda,City,6,25.1
Honda City i DTEC VX,Kochi,80606,Diesel,Manual,First,1498.0,98.6,5.0,6.96,Honda,City,5,25.1
Renault KWID 1.0 RXT Optional,Jaipur,63262,Petrol,Manual,First,999.0,67.0,5.0,3.25,Renault,KWID,3,21.7
Maruti Swift DDiS ZDI Plus,Hyderabad,5456,Diesel,Manual,First,1248.0,74.0,5.0,8.65,Maruti,Swift,2,28.4
Maruti Celerio VXI Optional AMT,Pune,7500,Petrol,Automatic,First,998.0,67.04,5.0,5.0,Maruti,Celerio,3,23.1
Mahindra XUV500 W8 2WD,Delhi,66000,Diesel,Manual,First,2179.0,140.0,7.0,5.5,Mahindra,XUV500,9,15.1
Hyundai i10 Magna,Jaipur,66770,Petrol,Manual,Second,1197.0,78.9,5.0,2.6,Hyundai,i10,10,20.36
Hyundai i10 Magna 1.1,Kochi,58472,Petrol,Manual,First,1086.0,68.05,5.0,3.41,Hyundai,i10,6,19.81
Maruti Dzire VXI,Kolkata,46687,Petrol,Manual,First,1197.0,81.8,5.0,2.7,Maruti,Dzire,9,22.0
Maruti Grand Vitara AT,Chennai,77000,Petrol,Automatic,Fourth & Above,1995.0,163.5,5.0,5.5,Maruti,Grand,12,9.7
Audi TT 40 TFSI,Kolkata,7000,Petrol,Automatic,First,1984.0,226.6,4.0,35.0,Audi,TT,8,14.33
Mercedes-Benz New C-Class C 200 CGI,Mumbai,48000,Petrol,Automatic,Second,1991.0,184.0,5.0,9.75,Mercedes-Benz,New,9,14.74
Nissan Sunny 2011-2014 Diesel XV,Mumbai,47000,Diesel,Manual,First,1461.0,84.8,5.0,4.25,Nissan,Sunny,7,21.64
Maruti Wagon R LXI,Ahmedabad,51530,Petrol,Manual,First,998.0,67.1,5.0,3.2,Maruti,Wagon,5,18.9
Maruti Swift Dzire ZDI,Bangalore,25789,Diesel,Manual,Second,1248.0,74.0,5.0,6.85,Maruti,Swift,6,23.4
Honda Amaze S i-Dtech,Delhi,48000,Diesel,Manual,First,1498.0,98.6,5.0,4.5,Honda,Amaze,5,25.8
Maruti Swift ZDI,Delhi,52000,Diesel,Manual,First,1248.0,74.0,5.0,3.55,Maruti,Swift,8,28.4
Hyundai Accent Executive CNG,Hyderabad,95637,CNG,Manual,Second,1495.0,93.7,5.0,1.9,Hyundai,Accent,10,18.479999999999997
Mahindra Scorpio LX 2.6 Turbo,Hyderabad,131000,Diesel,Manual,First,2609.0,120.0,7.0,3.6,Mahindra,Scorpio,12,10.5
Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,42076,Diesel,Automatic,First,2143.0,201.1,5.0,21.8,Mercedes-Benz,E-Class,5,13.0
Toyota Fortuner 4x2 Manual,Mumbai,76000,Diesel,Manual,Second,2982.0,168.5,7.0,13.5,Toyota,Fortuner,8,13.0
Datsun redi-GO T Option,Bangalore,20487,Petrol,Manual,First,799.0,53.64,5.0,2.66,Datsun,redi-GO,4,22.7
Honda City V MT,Delhi,43000,Petrol,Manual,Second,1497.0,116.3,5.0,3.75,Honda,City,10,16.8
Toyota Camry Hybrid,Pune,17000,Petrol,Automatic,First,2494.0,158.2,5.0,32.0,Toyota,Camry,2,19.16
Honda City i DTec V,Coimbatore,60805,Diesel,Manual,First,1498.0,98.6,5.0,8.07,Honda,City,4,26.0
Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Kochi,58775,Diesel,Manual,First,1968.0,138.1,5.0,5.64,Volkswagen,Jetta,8,19.33
Audi A6 2011-2015 2.0 TDI,Hyderabad,70181,Diesel,Automatic,First,1968.0,174.33,5.0,23.99,Audi,A6,7,17.68
Maruti Ertiga VDI,Coimbatore,85827,Diesel,Manual,First,1248.0,88.76,7.0,7.5,Maruti,Ertiga,4,20.77
Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,58205,Diesel,Automatic,First,2143.0,167.62,5.0,27.0,Mercedes-Benz,New,4,19.27
Maruti Swift Dzire Vdi BSIV,Mumbai,91000,Diesel,Manual,Second,1248.0,73.9,5.0,2.85,Maruti,Swift,12,19.3
Renault Duster 110PS Diesel RxZ Pack,Pune,74000,Diesel,Manual,First,1461.0,108.45,5.0,6.35,Renault,Duster,8,19.01
Maruti Ritz VDi,Hyderabad,79324,Diesel,Manual,First,1248.0,73.9,5.0,3.3,Maruti,Ritz,10,21.1
Maruti Swift Dzire VXI,Bangalore,38623,Petrol,Manual,First,1197.0,85.8,5.0,5.0,Maruti,Swift,7,19.1
Maruti Swift ZDi,Coimbatore,59923,Diesel,Manual,First,1248.0,74.0,5.0,6.46,Maruti,Swift,6,22.9
Hyundai EON Sportz,Jaipur,23360,Petrol,Manual,First,814.0,55.2,5.0,3.75,Hyundai,EON,3,21.1
Maruti Zen VXI BSII,Kochi,61495,Petrol,Manual,Third,993.0,60.0,5.0,1.52,Maruti,Zen,17,17.3
Maruti Eeco 7 Seater Standard,Coimbatore,56661,Petrol,Manual,First,1196.0,73.0,7.0,3.61,Maruti,Eeco,8,15.1
Audi Q5 30 TDI quattro Premium,Coimbatore,40318,Diesel,Automatic,First,1968.0,174.3,5.0,43.74,Audi,Q5,3,14.16
Audi Q3 2.0 TDI,Chennai,60000,Diesel,Automatic,First,1968.0,174.33,5.0,20.0,Audi,Q3,6,15.73
Smart Fortwo CDI AT,Pune,103000,Diesel,Automatic,Second,799.0,,2.0,3.0,Smart,Fortwo,12,
Maruti Swift Dzire VDi,Hyderabad,130000,Diesel,Manual,First,1248.0,73.9,5.0,3.65,Maruti,Swift,10,19.3
Tata Sumo DX,Mumbai,20000,Diesel,Manual,First,1978.0,83.1,10.0,5.25,Tata,Sumo,7,14.07
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,76000,Diesel,Automatic,First,2993.0,,7.0,58.0,BMW,X5,4,15.97
Honda City i-VTEC CVT VX,Mumbai,30000,Petrol,Automatic,First,1497.0,117.3,5.0,8.65,Honda,City,5,18.0
Tata Indigo eCS eLX BS IV,Delhi,150000,Diesel,Manual,First,1396.0,69.01,5.0,2.5,Tata,Indigo,5,25.0
Volkswagen Vento TSI,Chennai,28000,Petrol,Automatic,First,1197.0,103.6,5.0,7.75,Volkswagen,Vento,6,16.93
Maruti Celerio VXI,Bangalore,74000,Petrol,Manual,First,998.0,67.04,5.0,4.15,Maruti,Celerio,5,23.1
Toyota Fortuner 3.0 Diesel,Delhi,75000,Diesel,Manual,First,2982.0,171.0,7.0,10.85,Toyota,Fortuner,9,11.5
Mitsubishi Outlander 2.4,Delhi,76000,Petrol,Automatic,Second,2360.0,170.0,5.0,5.53,Mitsubishi,Outlander,10,11.3
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pune,64889,Diesel,Automatic,First,1896.0,105.0,5.0,11.5,Volkswagen,Jetta,6,15.5
Porsche Cayman 2009-2012 S,Hyderabad,10000,Petrol,Manual,First,,,2.0,40.0,Porsche,Cayman,10,9.0
Hyundai Creta 1.6 CRDi SX,Kolkata,43000,Diesel,Manual,First,1582.0,126.2,5.0,9.25,Hyundai,Creta,5,19.67
Skoda Fabia 1.2 MPI Ambiente Petrol,Pune,47490,Petrol,Manual,First,1198.0,75.0,5.0,2.29,Skoda,Fabia,9,17.5
Ford EcoSport 1.5 TDCi Titanium,Chennai,80000,Diesel,Manual,First,1498.0,98.59,5.0,7.0,Ford,EcoSport,5,22.77
Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,60000,Petrol,Manual,Second,1061.0,64.0,5.0,1.65,Maruti,Zen,13,18.2
Maruti Ciaz 1.4 Delta,Ahmedabad,6006,Petrol,Manual,First,1373.0,91.1,5.0,8.25,Maruti,Ciaz,3,20.73
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,71703,Petrol,Automatic,First,1991.0,181.03,5.0,9.14,Mercedes-Benz,New,9,14.74
Honda Amaze SX i-VTEC,Hyderabad,33000,Petrol,Manual,First,1198.0,86.7,5.0,6.5,Honda,Amaze,4,17.8
Toyota Etios GD,Kolkata,60000,Diesel,Manual,First,1364.0,,5.0,2.95,Toyota,Etios,8,23.59
Renault Duster 85PS Diesel RxL,Jaipur,91000,Diesel,Manual,First,1461.0,83.8,5.0,5.75,Renault,Duster,5,19.87
Maruti Wagon R LXI LPG BSIV,Hyderabad,72000,LPG,Manual,First,998.0,58.2,5.0,2.85,Maruti,Wagon,8,
Volkswagen Polo Petrol Highline 1.2L,Kolkata,43000,Petrol,Manual,Second,1198.0,73.9,5.0,2.1,Volkswagen,Polo,9,16.47
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,63770,Diesel,Manual,First,1582.0,126.2,5.0,13.55,Hyundai,Creta,3,19.67
Jaguar XF Diesel,Kolkata,43510,Diesel,Automatic,First,2993.0,,5.0,20.5,Jaguar,XF,8,14.74
Jeep Compass 2.0 Limited 4X4,Mumbai,52000,Diesel,Manual,First,1956.0,170.0,5.0,20.0,Jeep,Compass,3,16.3
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,31427,Diesel,Automatic,First,1999.0,177.0,5.0,59.72,Land,Rover,2,15.68
Maruti Baleno Alpha Diesel,Kolkata,29000,Diesel,Manual,First,1248.0,74.0,5.0,6.5,Maruti,Baleno,4,27.39
Maruti Ciaz ZDi SHVS,Ahmedabad,56000,Diesel,Manual,First,1248.0,88.5,5.0,7.5,Maruti,Ciaz,4,28.09
Maruti SX4 Vxi BSIII,Jaipur,76000,Petrol,Manual,Second,1586.0,104.68,5.0,2.15,Maruti,SX4,13,15.0
Hyundai Elantra CRDi SX,Coimbatore,53615,Diesel,Manual,First,1582.0,126.24,5.0,8.44,Hyundai,Elantra,5,22.7
Mitsubishi Pajero Sport 4X4,Bangalore,132000,Diesel,Manual,First,2477.0,175.56,7.0,12.49,Mitsubishi,Pajero,7,13.5
Volkswagen Ameo 1.2 MPI Comfortline,Pune,14800,Petrol,Manual,First,1198.0,73.75,5.0,5.48,Volkswagen,Ameo,3,17.0
Maruti Ritz VXi,Hyderabad,35433,Petrol,Manual,First,1197.0,85.8,5.0,4.2,Maruti,Ritz,7,18.5
Hyundai Verna CRDi SX,Hyderabad,82966,Diesel,Manual,First,1493.0,110.0,5.0,7.2,Hyundai,Verna,7,16.8
Maruti Swift Dzire Tour LDI,Jaipur,96000,Diesel,Manual,First,1248.0,74.0,5.0,4.8,Maruti,Swift,6,23.4
Mahindra KUV 100 mFALCON D75 K6,Kochi,39528,Diesel,Manual,First,1198.0,77.0,6.0,5.83,Mahindra,KUV,3,25.32
Toyota Innova Crysta 2.4 ZX MT,Coimbatore,92056,Diesel,Manual,First,2393.0,147.8,7.0,18.39,Toyota,Innova,2,13.68
Maruti Baleno Delta 1.2,Pune,14930,Petrol,Manual,First,1197.0,83.1,5.0,5.85,Maruti,Baleno,4,21.4
Honda Jazz VX Diesel,Mumbai,38000,Diesel,Manual,First,1498.0,98.6,5.0,6.21,Honda,Jazz,4,27.3
Hyundai i20 1.2 Asta,Delhi,71000,Petrol,Manual,First,1197.0,80.0,5.0,3.65,Hyundai,i20,7,17.0
Hyundai i20 Sportz Diesel,Delhi,71000,Diesel,Manual,First,1396.0,90.0,5.0,3.7,Hyundai,i20,8,23.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Pune,50000,Diesel,Automatic,First,2143.0,167.62,5.0,30.0,Mercedes-Benz,New,5,19.27
Hyundai Xcent 1.2 Kappa Base,Kochi,48163,Petrol,Manual,First,1197.0,82.0,5.0,4.85,Hyundai,Xcent,4,19.1
Hyundai Grand i10 AT Asta,Coimbatore,19168,Petrol,Automatic,First,1197.0,82.0,5.0,6.93,Hyundai,Grand,3,18.9
Maruti Alto 800 VXI,Kolkata,26000,Petrol,Manual,First,796.0,47.3,5.0,2.6,Maruti,Alto,4,22.74
Chevrolet Sail Hatchback 1.2 LS,Kolkata,37400,Petrol,Manual,First,1199.0,82.5,5.0,1.89,Chevrolet,Sail,6,18.2
Mercedes-Benz C-Class Progressive C 220d,Mumbai,8682,Diesel,Automatic,First,1950.0,194.0,5.0,39.5,Mercedes-Benz,C-Class,2,
Skoda Superb Elegance 1.8 TSI AT,Mumbai,95000,Petrol,Automatic,First,1798.0,157.75,5.0,10.0,Skoda,Superb,8,13.7
Audi A4 2.0 TDI,Kolkata,34000,Diesel,Automatic,First,1968.0,147.51,5.0,9.95,Audi,A4,11,16.55
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Mumbai,95000,Diesel,Manual,Second,2494.0,102.0,8.0,9.45,Toyota,Innova,6,12.8
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,13689,Diesel,Automatic,First,2143.0,136.0,5.0,28.25,Mercedes-Benz,CLA,3,17.9
Hyundai i10 Era,Jaipur,84000,Petrol,Manual,Second,1086.0,68.05,5.0,1.8,Hyundai,i10,12,19.81
Maruti Swift Dzire VXi,Kolkata,47000,Petrol,Manual,Second,1298.0,85.8,5.0,1.4,Maruti,Swift,12,17.5
Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,60001,Diesel,Automatic,First,1498.0,103.52,5.0,7.25,Skoda,Rapid,5,21.66
Maruti Ritz VDi,Hyderabad,96000,Diesel,Manual,First,1248.0,73.9,5.0,3.6,Maruti,Ritz,8,21.1
Hyundai Accent GLS 1.6,Jaipur,47300,Petrol,Manual,Second,1599.0,94.0,5.0,1.2,Hyundai,Accent,16,14.4
Honda Amaze SX i-VTEC,Coimbatore,28246,Petrol,Manual,Second,1198.0,86.7,5.0,4.94,Honda,Amaze,6,17.8
Maruti Wagon R LXI,Delhi,65000,Petrol,Manual,Second,998.0,67.1,5.0,1.25,Maruti,Wagon,13,18.9
Volkswagen Polo Diesel Comfortline 1.2L,Chennai,68000,Diesel,Manual,Second,1199.0,73.9,5.0,4.8,Volkswagen,Polo,7,22.07
Ford Endeavour 2.2 Trend AT 4X2,Kochi,11209,Diesel,Automatic,First,2198.0,158.0,7.0,31.15,Ford,Endeavour,1,12.62
Hyundai i20 1.2 Sportz,Pune,41980,Petrol,Manual,Second,1197.0,80.0,5.0,3.3,Hyundai,i20,9,17.0
Chevrolet Beat Diesel PS,Bangalore,65000,Diesel,Manual,First,936.0,57.6,5.0,2.4,Chevrolet,Beat,8,25.44
Honda Civic 2010-2013 1.8 V MT,Kolkata,38000,Petrol,Manual,First,1799.0,130.2,5.0,2.0,Honda,Civic,10,14.8
Maruti Wagon R VXI BS IV,Pune,51000,Petrol,Manual,First,998.0,67.04,5.0,3.1,Maruti,Wagon,6,20.51
Skoda Rapid 1.6 MPI Ambition Plus,Kochi,33855,Petrol,Manual,First,1598.0,103.6,5.0,5.09,Skoda,Rapid,6,15.0
Maruti Baleno Vxi - BSIII,Pune,146000,Petrol,Manual,Second,1590.0,94.0,5.0,1.05,Maruti,Baleno,14,15.4
Ford EcoSport 1.5 TDCi Titanium,Bangalore,47037,Diesel,Manual,Second,1498.0,98.59,5.0,7.0,Ford,EcoSport,5,22.77
Hyundai Accent GLE,Ahmedabad,58000,Petrol,Manual,Second,1495.0,94.0,5.0,2.5,Hyundai,Accent,10,13.2
BMW 5 Series 520d Luxury Line,Mumbai,61240,Diesel,Automatic,First,1995.0,190.0,5.0,17.5,BMW,5,8,22.48
Maruti Alto K10 2010-2014 VXI,Chennai,91211,Petrol,Manual,First,998.0,67.1,5.0,2.1,Maruti,Alto,9,20.92
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,84000,Diesel,Automatic,First,1968.0,174.33,5.0,17.75,Audi,Q3,7,15.73
Maruti Wagon R LXI DUO BSIII,Mumbai,64226,LPG,Manual,First,1061.0,57.5,5.0,1.45,Maruti,Wagon,12,24.22
Toyota Corolla H4,Bangalore,67000,Petrol,Automatic,Second,1794.0,125.0,5.0,2.45,Toyota,Corolla,15,11.3
Volvo XC60 D5,Pune,106976,Diesel,Automatic,First,2400.0,215.0,5.0,13.8,Volvo,XC60,9,13.5
Honda Jazz 1.5 VX i DTEC,Kolkata,27210,Diesel,Manual,First,1498.0,98.6,5.0,5.85,Honda,Jazz,4,27.3
Maruti Ciaz 1.3 Alpha,Delhi,26322,Diesel,Manual,First,1248.0,88.5,5.0,8.9,Maruti,Ciaz,3,28.09
Maruti Swift VXI BSIV,Mumbai,9107,Petrol,Manual,First,1197.0,81.8,5.0,5.15,Maruti,Swift,4,20.4
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,63983,Diesel,Automatic,First,2143.0,170.0,5.0,16.56,Mercedes-Benz,New,5,19.27
Maruti Wagon R VXI Minor,Chennai,134000,Petrol,Manual,Second,1061.0,67.0,5.0,1.65,Maruti,Wagon,10,18.9
Mercedes-Benz A Class A180 Sport,Pune,11000,Petrol,Automatic,First,1595.0,120.7,5.0,16.0,Mercedes-Benz,A,5,15.5
Hyundai Santro Xing GL,Pune,93000,Petrol,Manual,First,1086.0,62.0,5.0,1.45,Hyundai,Santro,12,
Maruti Swift Dzire AMT ZDI,Coimbatore,24852,Diesel,Automatic,First,1248.0,74.0,5.0,8.08,Maruti,Swift,3,26.59
Hyundai Grand i10 AT Asta,Pune,37632,Petrol,Automatic,First,1197.0,82.0,5.0,4.5,Hyundai,Grand,6,18.9
Nissan Sunny 2011-2014 XV Special Edition,Chennai,55000,Petrol,Manual,Second,1498.0,97.7,5.0,4.3,Nissan,Sunny,7,16.95
Maruti A-Star Lxi,Hyderabad,81448,Petrol,Manual,First,998.0,66.1,5.0,2.6,Maruti,A-Star,10,19.0
Renault KWID RXT Optional,Hyderabad,1900,Petrol,Manual,First,799.0,53.3,5.0,4.45,Renault,KWID,2,25.17
Hyundai Verna 1.6 SX VTVT (O) AT,Coimbatore,54957,Petrol,Automatic,First,1591.0,121.4,5.0,5.37,Hyundai,Verna,8,17.1
Maruti Wagon R LXI Minor,Chennai,55000,Petrol,Manual,Second,1061.0,67.0,5.0,1.75,Maruti,Wagon,12,18.9
BMW 3 Series 320d Sport Line,Kolkata,21983,Diesel,Automatic,First,1995.0,184.0,5.0,16.5,BMW,3,7,18.88
BMW 5 Series 2003-2012 520d,Delhi,76000,Diesel,Automatic,First,1995.0,177.0,5.0,19.0,BMW,5,7,18.48
Tata Indigo CS eVX,Jaipur,65000,Diesel,Manual,First,1396.0,69.01,5.0,2.8,Tata,Indigo,4,25.0
Hyundai i20 Sportz 1.4 CRDi,Hyderabad,26000,Diesel,Manual,First,1396.0,88.73,5.0,6.2,Hyundai,i20,5,22.54
Maruti Omni E MPI STD BS IV,Kochi,11571,Petrol,Manual,First,796.0,34.2,8.0,3.8,Maruti,Omni,1,16.8
Maruti Swift ZDi,Hyderabad,81000,Diesel,Manual,First,1248.0,74.0,5.0,6.1,Maruti,Swift,6,25.2
Ford Ecosport Signature Edition Diesel,Coimbatore,23154,Diesel,Manual,First,1498.0,98.96,5.0,11.65,Ford,Ecosport,1,23.0
Honda Brio VX AT,Mumbai,26856,Petrol,Automatic,First,1198.0,86.8,5.0,4.15,Honda,Brio,6,16.5
Toyota Innova Crysta 2.4 GX MT,Chennai,67489,Diesel,Manual,First,2393.0,147.8,7.0,16.5,Toyota,Innova,3,13.68
Mahindra Scorpio 2.6 LX,Bangalore,176000,Diesel,Manual,Second,2179.0,120.0,8.0,4.3,Mahindra,Scorpio,12,10.5
Hyundai i20 1.2 Magna,Kolkata,18000,Petrol,Manual,First,1197.0,80.0,5.0,2.25,Hyundai,i20,10,18.5
Hyundai Verna 1.6 SX,Ahmedabad,63003,Diesel,Manual,First,1582.0,126.32,5.0,6.75,Hyundai,Verna,6,22.32
Mahindra XUV500 W6 2WD,Chennai,80000,Diesel,Manual,First,2179.0,140.0,7.0,9.4,Mahindra,XUV500,6,15.1
Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,56658,Diesel,Manual,First,1498.0,108.5,5.0,5.39,Volkswagen,Vento,6,20.64
Maruti Swift Dzire VDI Optional,Kochi,18592,Diesel,Manual,First,1248.0,74.0,5.0,8.51,Maruti,Swift,1,26.59
Tata Manza Aura Safire BS IV,Pune,75695,Petrol,Manual,First,1368.0,88.8,5.0,1.85,Tata,Manza,10,13.7
